symbol,date,open,high,low,close,volume,adjclose,splits
NCPL,2017-01-03,2.0,2.0,2.0,2.0,0,2.0,0.0
NCPL,2017-01-04,2.0,2.0,2.0,2.0,113,2.0,0.0
NCPL,2017-01-05,2.0,2.0,2.0,2.0,0,2.0,0.0
NCPL,2017-01-06,2.0,2.0,2.0,2.0,5,2.0,0.0
NCPL,2017-01-09,2.0,2.0,2.0,2.0,0,2.0,0.0
NCPL,2017-01-10,2.0,2.0,2.0,2.0,0,2.0,0.0
NCPL,2017-01-11,2.0,2.0,2.0,2.0,0,2.0,0.0
NCPL,2017-01-12,2.0,2.0,2.0,2.0,6,2.0,0.0
NCPL,2017-01-13,2.0,2.0,2.0,2.0,0,2.0,0.0
NCPL,2017-01-17,2.0,2.0,2.0,2.0,0,2.0,0.0
NCPL,2017-01-18,2.0,2.0,2.0,2.0,0,2.0,0.0
NCPL,2017-01-19,2.0,2.0,2.0,2.0,0,2.0,0.0
NCPL,2017-01-20,2.0,2.0,2.0,2.0,0,2.0,0.0
NCPL,2017-01-23,2.0,2.0,2.0,2.0,5,2.0,0.0
NCPL,2017-01-24,2.0,2.0,2.0,2.0,0,2.0,0.0
NCPL,2017-01-25,2.0,2.0,2.0,2.0,0,2.0,0.0
NCPL,2017-01-26,2.0,2.0,2.0,2.0,0,2.0,0.0
NCPL,2017-01-27,2.0,2.0,2.0,2.0,0,2.0,0.0
NCPL,2017-01-30,2.0,2.0,2.0,2.0,0,2.0,0.0
NCPL,2017-01-31,2.0,2.0,2.0,2.0,0,2.0,0.0
NCPL,2017-02-01,2.0,2.0,2.0,2.0,0,2.0,0.0
NCPL,2017-02-02,2.0,2.0,2.0,2.0,0,2.0,0.0
NCPL,2017-02-03,2.0,2.0,2.0,2.0,0,2.0,0.0
NCPL,2017-02-06,2.0,2.0,2.0,2.0,0,2.0,0.0
NCPL,2017-02-07,2.0,2.0,2.0,2.0,243,2.0,0.0
NCPL,2017-02-08,2.0,2.0,2.0,2.0,0,2.0,0.0
NCPL,2017-02-09,2.0,2.0,2.0,2.0,0,2.0,0.0
NCPL,2017-02-10,2.0,2.0,2.0,2.0,0,2.0,0.0
NCPL,2017-02-13,2.0,2.0,2.0,2.0,600,2.0,0.0
NCPL,2017-02-14,2.0,2.0,2.0,2.0,0,2.0,0.0
NCPL,2017-02-15,2.0,4.0,2.0,4.0,543,4.0,0.0
NCPL,2017-02-16,4.0,4.0,2.0,2.0,153,2.0,0.0
NCPL,2017-02-17,4.0,4.0,4.0,4.0,235,4.0,0.0
NCPL,2017-02-21,4.0,4.0,4.0,4.0,30,4.0,0.0
NCPL,2017-02-22,4.0,4.0,4.0,4.0,18,4.0,0.0
